"","date","bioguide_id","count_protest","count_protest_size","count_non_normative","count_violent","count_palestine_protests","size_palestine_protests","non_normative_palestine_protests","violent_palestine_protests","count_israel_protests","size_israel_protests","non_normative_israel_protests","violent_israel_protests","count_neutral_protests","size_neutral_protests","non_normative_neutral_protests","violent_neutral_protests"
"255","2023-10-09","L000590",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"256","2023-10-09","L000602",2,145,0,0,1,45,0,0,1,100,0,0,0,0,0,0
"257","2023-10-09","M000312",3,135,0,0,1,45,0,0,2,90,0,0,0,0,0,0
"258","2023-10-09","M001217",1,300,0,0,0,0,0,0,1,300,0,0,0,0,0,0
"259","2023-10-09","M001221",1,250,0,0,0,0,0,0,1,250,0,0,0,0,0,0
"260","2023-10-09","M001227",1,1000,0,0,0,0,0,0,1,1000,0,0,0,0,0,0
"261","2023-10-09","N000015",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"262","2023-10-09","O000173",1,325,0,0,1,325,0,0,0,0,0,0,0,0,0,0
"263","2023-10-09","R000305",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"264","2023-10-09","R000579",1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0
"265","2023-10-09","S000344",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"266","2023-10-09","S001145",1,150,0,0,0,0,0,0,1,150,0,0,0,0,0,0
"267","2023-10-09","S001205",1,600,0,0,0,0,0,0,1,600,0,0,0,0,0,0
"268","2023-10-09","S001207",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"269","2023-10-09","S001214",1,350,0,0,0,0,0,0,1,350,0,0,0,0,0,0
"270","2023-10-09","T000460",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"271","2023-10-09","T000468",1,20,0,0,0,0,0,0,1,20,0,0,0,0,0,0
"272","2023-10-09","T000469",1,200,0,0,0,0,0,0,1,200,0,0,0,0,0,0
"273","2023-10-09","T000481",1,1000,0,0,0,0,0,0,1,1000,0,0,0,0,0,0
"274","2023-10-09","W000808",1,750,0,0,0,0,0,0,1,750,0,0,0,0,0,0
"275","2023-10-09","W000823",2,57,0,0,0,0,0,0,2,57,0,0,0,0,0,0
"276","2023-10-09","W000828",1,200,0,0,0,0,0,0,1,200,0,0,0,0,0,0
"277","2023-10-10","A000369",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"278","2023-10-10","B001223",1,1750,0,0,0,0,0,0,1,1750,0,0,0,0,0,0
"279","2023-10-10","B001314",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"280","2023-10-10","C000537",2,90,0,0,0,0,0,0,2,90,0,0,0,0,0,0
"281","2023-10-10","C001069",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"282","2023-10-10","C001090",1,200,0,0,0,0,0,0,1,200,0,0,0,0,0,0
"283","2023-10-10","C001103",1,250,0,0,0,0,0,0,1,250,0,0,0,0,0,0
"284","2023-10-10","D000096",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
