"","date","bioguide_id","count_statement","sum_legislative_discussion","sum_bipartisan","sum_attack","sum_floor","sum_newsletters","sum_source_statements"
"420","2023-10-10","D000626",1,0,0,0,0,1,0
"421","2023-10-10","F000471",2,0,0,0,0,2,0
"422","2023-10-10","G000565",5,4,4,0,0,5,0
"423","2023-10-10","G000583",2,0,0,0,0,2,0
"424","2023-10-10","H000874",2,0,0,0,0,2,0
"425","2023-10-10","H001047",1,0,0,0,0,1,0
"426","2023-10-10","H001058",4,3,4,0,0,0,4
"427","2023-10-10","H001085",1,0,0,0,0,1,0
"428","2023-10-10","J000298",1,0,0,0,0,1,0
"429","2023-10-10","K000399",3,0,0,0,0,3,0
"430","2023-10-10","K000400",2,2,1,0,0,2,0
"431","2023-10-10","L000566",3,1,0,0,0,0,3
"432","2023-10-10","M001195",3,1,1,0,0,3,0
"433","2023-10-10","M001199",3,1,1,0,0,3,0
"434","2023-10-10","N000002",6,2,0,0,0,6,0
"435","2023-10-10","N000188",5,0,2,0,0,0,5
"436","2023-10-10","O000173",1,0,0,0,0,1,0
"437","2023-10-10","R000579",1,0,0,0,0,1,0
"438","2023-10-10","S000344",1,0,1,0,0,0,1
"439","2023-10-10","S000522",4,0,1,0,0,1,3
"440","2023-10-10","S001208",1,0,0,0,0,1,0
"441","2023-10-10","S001211",2,1,2,0,0,2,0
"442","2023-10-10","S001212",4,0,0,0,0,4,0
"443","2023-10-10","W000806",4,1,0,0,0,4,0
"444","2023-10-11","B001260",1,1,0,0,0,1,0
"445","2023-10-11","B001301",3,1,0,1,0,3,0
"446","2023-10-11","C001063",2,0,0,0,0,2,0
"447","2023-10-11","C001067",2,0,0,0,0,0,2
"448","2023-10-11","C001080",1,0,0,0,0,1,0
"449","2023-10-11","C001115",3,0,0,0,0,3,0
"450","2023-10-11","C001118",2,1,0,0,0,2,0
"451","2023-10-11","D000530",1,0,0,0,0,1,0
"452","2023-10-11","E000294",2,0,0,0,0,2,0
"453","2023-10-11","E000297",1,0,0,0,0,1,0
"454","2023-10-11","F000465",9,6,0,0,0,9,0
"455","2023-10-11","G000591",2,1,0,0,0,2,0
"456","2023-10-11","H001058",1,0,0,0,0,0,1
"457","2023-10-11","K000376",1,1,1,0,0,1,0
"458","2023-10-11","M000317",2,0,1,0,0,2,0
"459","2023-10-11","M000871",6,3,0,0,0,6,0
"460","2023-10-11","M001143",3,1,1,0,1,0,2
"461","2023-10-11","M001194",1,0,0,0,0,1,0
"462","2023-10-11","M001199",1,0,0,0,0,1,0
"463","2023-10-11","N000189",4,1,0,0,0,4,0
"464","2023-10-11","P000617",3,0,1,0,0,0,3
"465","2023-10-11","P000620",3,1,1,0,0,3,0
"466","2023-10-11","R000614",4,0,0,0,0,4,0
"467","2023-10-11","S000344",8,6,3,0,0,0,8
"468","2023-10-11","S000522",2,0,0,0,0,0,2
"469","2023-10-11","S001148",3,3,2,0,0,0,3
"470","2023-10-11","S001193",1,0,0,0,0,1,0
"471","2023-10-11","V000133",1,0,0,0,0,1,0
"472","2023-10-12","G000596",1,0,0,0,0,1,0
"473","2023-10-12","P000617",3,0,0,0,0,0,3
"474","2023-10-12","W000795",4,1,0,0,4,0,0
"475","2023-10-13","A000379",1,0,0,0,0,1,0
"476","2023-10-13","B001223",2,0,0,0,0,2,0
"477","2023-10-13","B001302",4,1,0,0,0,4,0
"478","2023-10-13","B001317",4,2,0,0,0,4,0
"479","2023-10-13","C001039",2,0,0,0,0,2,0
"480","2023-10-13","C001051",3,1,0,0,0,3,0
"481","2023-10-13","C001066",1,0,1,0,0,1,0
"482","2023-10-13","C001068",2,0,0,0,0,2,0
"483","2023-10-13","C001069",2,0,0,0,0,2,0
"484","2023-10-13","C001103",1,0,0,0,0,1,0
"485","2023-10-13","C001119",2,0,1,0,0,2,0
"486","2023-10-13","D000197",2,1,2,0,0,2,0
